model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,smc,0,0 1,2,95,0
model1,5000,smc,1,00 1 10,3,95,0
model1,5000,smc,2,000 1 10 100,4,95,0
model1,5000,smc,3,0000 1 10 100 1000,5,95,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,95,0
model1,5000,smc,0,0 1,2,96,0
model1,5000,smc,1,00 1 10,3,96,0
model1,5000,smc,2,000 1 10 100,4,96,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,96,1
model1,5000,smc,0,0 1,2,97,0
model1,5000,smc,1,00 1 10,3,97,0
model1,5000,smc,2,0000 1 10 100 1000,5,97,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,97,0
model1,5000,smc,0,0 1,2,98,0
model1,5000,smc,1,00 1 10,3,98,0
model1,5000,smc,2,000 1 10 100,4,98,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,98,1
model1,5000,smc,0,0 1,2,99,0
model1,5000,smc,1,00 1 10,3,99,0
model1,5000,smc,2,000 1 10 100,4,99,0
model1,5000,smc,3,0000 1 10 100 1000,5,99,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,99,0
model1,10000,smc,0,0 1,2,0,0
model1,10000,smc,1,00 1 10,3,0,0
model1,10000,smc,2,00000 1 10 100 1000 10000,6,0,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,0,0
model1,10000,smc,0,0 1,2,1,0
model1,10000,smc,1,00 1 10,3,1,0
model1,10000,smc,2,000000 1 10 100 1000 10000 100000,7,1,1
model1,10000,smc,0,0 1,2,2,0
model1,10000,smc,1,00 1 10,3,2,0
model1,10000,smc,2,000 1 10 100,4,2,0
model1,10000,smc,3,0000 1 10 100 1000,5,2,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,2,1
model1,10000,smc,0,0 1,2,3,0
model1,10000,smc,1,00 1 10,3,3,0
model1,10000,smc,2,000 1 10 100,4,3,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,3,0
model1,10000,smc,0,0 1,2,4,0
model1,10000,smc,1,00 1 10,3,4,0
model1,10000,smc,2,000 1 10 100,4,4,0
model1,10000,smc,3,0000 1 10 100 1000,5,4,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,4,0
model1,10000,smc,0,0 1,2,5,0
model1,10000,smc,1,00 1 10,3,5,0
model1,10000,smc,2,000 1 10 100,4,5,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,5,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,5,0
model1,10000,smc,0,0 1,2,6,0
model1,10000,smc,1,00 1 10,3,6,0
model1,10000,smc,2,000 1 10 100,4,6,0
model1,10000,smc,3,0000 1 10 100 1000,5,6,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,6,0
model1,10000,smc,0,0 1,2,7,0
model1,10000,smc,1,00 1 10,3,7,0
model1,10000,smc,2,000 1 10 100,4,7,0
model1,10000,smc,3,0000 1 10 100 1000,5,7,1
